"","ID","p1","p2","p3","p4","convergence","sse","transp1","transp2","transp3","transp4"
"3589","ID4",26.2147506441874,-2.88715954263994,-4.09898711942048,0.884597898939788,0,73.3935461878283,11.6337437131946,0.0557342988860116,176.88,2.42201030274704
"3590","ID4",26.3170611175269,-2.88651509084363,-5.4558088217216,2.25411742017007,0,73.3935207298936,11.7069512902034,0.0557702285312634,178.88,9.52688136525125
"3591","ID4",24.4130675071992,-0.455252805752766,1.12022287274051,-3.50801169605289,0,22.9879479081492,10.8231643224671,0.634287596124414,42.88,0.0299564177256166
"3592","ID4",21.932688802367,-0.365643214879938,6.6561836408742,-5.51744146539004,0,30.7571189252644,9.81086992302439,0.693750276835134,38.88,0.00401611016522088
"3593","ID4",21.9327935593609,-0.365652913452748,3.90152616086562,-5.51554863248098,0,30.7571189008483,9.81089164359361,0.69374354848019,38.88,0.00402371918974222
"3594","ID4",24.4010616114613,-0.455148010185659,1.12102258800366,-3.51049586416921,0,22.9881023678254,10.8181379824325,0.634354070135789,42.88,0.0298820933032253
"3595","ID4",24.4203677551057,-0.4549145450381,1.12003928403102,-3.50632879593075,0,22.9879321035369,10.8262568206529,0.634502186991767,42.88,0.0300068738290487
"3596","ID4",21.9325527211057,-0.365674679287276,5.38864018647125,-5.51661223727927,0,30.7571189770687,9.81080002784147,0.693728448737239,38.88,0.00401944181782494
"3597","ID4",24.4194794484174,-0.455133397486434,1.11995226852997,-3.50530857411101,0,22.9879371853412,10.8257975687115,0.634363339828745,42.88,0.0300375031181491
"3598","ID4",24.4625075876162,-0.468488265543634,1.10322411337349,-3.48897888288872,0,23.0150096951661,10.8429338672252,0.625947820278661,43.88,0.0305320330404413
"3599","ID4",24.4115827872829,-0.454811036291221,1.12075025133017,-3.5080681438595,0,22.9879582236115,10.8225848262862,0.634567866917199,42.88,0.0299547267992668
"3600","ID4",21.9328491466006,-0.365606409477945,2.99324550832445,-5.51510880673003,0,30.7571181438594,9.81091094513668,0.693775811062851,38.88,0.00402548931430113
"3601","ID4",21.9332647524302,-0.365602937069989,12.1763694980589,-5.51389697738145,0,30.7571192283929,9.81107632646894,0.69377822013968,38.88,0.00403037047736558
"3602","ID4",24.4278036499772,-0.455547047737801,1.11924985275173,-3.50328827430407,0,22.9879969240142,10.8292328354408,0.63410098953814,42.88,0.0300982492219087
"3603","ID4",24.4236293818137,-0.455260756716546,1.11939684308228,-3.50587909580973,0,22.9879713910823,10.8275842615778,0.63428255294676,42.88,0.030020370958444
"3604","ID4",21.9330322000413,-0.365554866529946,12.5373645350743,-5.51641775500248,0,30.7571191664218,9.81100753274713,0.693811571234988,38.88,0.00402022360404039
"3605","ID4",24.419629662417,-0.455076300569425,1.12001486746439,-3.50601864149114,0,22.9879288998188,10.8259078442537,0.634399561053763,42.88,0.0300161820376021
"3606","ID4",24.4269424634186,-0.455240197021143,1.11892838780464,-3.50261172592161,0,22.9880351023064,10.8288215622769,0.634295593736905,42.88,0.0301186190335393
"3607","ID4",21.9329222858201,-0.365592962050338,7.4666562656897,-5.51584017610242,0,30.7571187448294,9.81095204231574,0.693785140625576,38.88,0.00402254627106479
"3608","ID4",24.418473799539,-0.454960451113222,1.12018251666021,-3.50683728180888,0,22.987928306295,10.825467221096,0.634473060155261,42.88,0.0299916196360594
"3609","ID4",24.4177336785606,-0.455039456467001,1.1202030676416,-3.50669221951967,0,22.9879276990427,10.8251343512744,0.634422935366769,42.88,0.0299959706046341
